system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Pd0.05Cu0.95_111,-0.382 ,3444.240 ,74.209 ,-4.206 ,2.064 ,1.512 ,2.518 ,73.938 ,89.909 ,-5.141 ,0.782 ,2.312 ,2.073 ,97.033 ,71.416 ,-7.109 ,3.823 ,2.251 ,1.067 ,-1.755 
Pd0.15Cu0.85_111,-0.728 ,3328.410 ,77.781 ,-4.073 ,2.087 ,1.565 ,2.485 ,71.096 ,88.398 ,-5.122 ,0.677 ,2.178 ,2.724 ,99.860 ,69.714 ,-6.955 ,3.996 ,2.111 ,1.044 ,-1.739 
Pd0.5Cu0.5_111,-1.244 ,2957.815 ,93.462 ,-3.613 ,2.101 ,1.868 ,1.737 ,69.056 ,86.033 ,-4.585 ,1.593 ,2.213 ,2.838 ,41.004 ,117.843 ,-7.981 ,-6.234 ,1.132 ,1.118 ,-1.796 
Ag0.85Au0.15_111,0.215 ,3132.266 ,67.080 ,-5.550 ,2.102 ,1.748 ,2.867 ,76.581 ,51.594 ,0.499 ,4.160 ,3.025 ,0.951 ,77.285 ,90.228 ,-7.404 ,3.833 ,0.756 ,1.171 ,-1.435 
Ag0.8Au0.2_111,0.250 ,3072.583 ,68.507 ,-5.498 ,2.130 ,1.788 ,2.828 ,77.361 ,53.263 ,0.514 ,4.149 ,2.989 ,0.980 ,66.262 ,89.084 ,-7.464 ,3.833 ,1.492 ,1.177 ,-1.433 
Ag0.90Au0.10_111,0.150 ,3277.208 ,68.123 ,-5.565 ,2.131 ,1.720 ,2.865 ,78.970 ,53.095 ,0.483 ,4.163 ,3.004 ,0.953 ,88.936 ,93.479 ,-7.427 ,3.824 ,0.875 ,1.183 ,-1.438 
Pd0.65Pt0.35_111,-1.011 ,1907.460 ,4130.538 ,-3.904 ,2.155 ,2.468 ,1.045 ,69.489 ,68.749 ,-3.779 ,1.345 ,1.971 ,1.983 ,146.832 ,29.885 ,-6.062 ,2.811 ,2.101 ,1.143 ,-1.444 
Pd0.6Pt0.4_111,-0.900 ,1871.493 ,3535.781 ,-3.896 ,2.175 ,2.494 ,1.037 ,69.266 ,67.826 ,-3.766 ,1.336 ,1.968 ,1.989 ,148.239 ,31.660 ,-6.045 ,2.734 ,2.158 ,1.205 ,-1.422 
Pd0.25Cu0.75_111,-0.821 ,3202.936 ,80.079 ,-3.928 ,2.180 ,1.633 ,2.443 ,69.982 ,86.623 ,-4.941 ,0.955 ,2.188 ,2.761 ,102.742 ,67.037 ,-6.799 ,4.217 ,1.984 ,0.985 ,-1.744 
Ag0.7Au0.3_111,0.145 ,2972.594 ,70.607 ,-5.409 ,2.189 ,1.849 ,2.762 ,77.770 ,54.295 ,0.576 ,4.161 ,2.994 ,0.989 ,87.567 ,93.185 ,-7.509 ,3.830 ,0.907 ,1.220 ,-1.403 
