system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Pd0.9Ir0.1_111,-2.183 ,2517.622 ,1254.818 ,-3.837 ,-1.850 ,2.432 ,0.867 ,84.592 ,104.339 ,-4.111 ,2.029 ,2.587 ,2.153 ,151.443 ,38.754 ,-6.308 ,-0.505 ,1.449 ,2.669 ,-1.508 
Ir0.4Au0.6_111,-2.131 ,1958.674 ,959.375 ,-4.855 ,-1.381 ,2.455 ,1.749 ,89.998 ,92.248 ,-4.388 ,2.084 ,3.599 ,2.431 ,152.441 ,64.433 ,-7.565 ,3.965 ,1.401 ,0.768 ,-0.987 
Ir0.65Pt0.35_111,-2.072 ,1733.066 ,1004.732 ,-3.628 ,-0.248 ,3.380 ,1.217 ,133.721 ,58.479 ,-3.837 ,1.661 ,3.729 ,1.122 ,218.861 ,45.702 ,-7.338 ,-3.670 ,1.785 ,0.966 ,-0.415 
Pd0.65Ir0.35_111,-2.056 ,2261.284 ,885.860 ,-3.621 ,-1.284 ,2.841 ,0.925 ,102.949 ,97.268 ,-3.965 ,1.786 ,3.036 ,1.670 ,169.823 ,38.169 ,-6.717 ,0.593 ,1.659 ,1.795 ,-1.104 
Ir0.25Cu0.75_111,-1.932 ,1362.062 ,2224.802 ,-3.936 ,-3.819 ,2.803 ,1.193 ,92.305 ,104.295 ,-4.742 ,1.511 ,2.945 ,2.989 ,129.432 ,52.109 ,-7.188 ,4.138 ,2.324 ,0.906 ,-1.456 
Ir0.55Pt0.45_111,-1.917 ,1630.493 ,842.099 ,-3.535 ,-0.397 ,3.510 ,1.074 ,119.203 ,83.952 ,-3.892 ,2.306 ,3.694 ,1.480 ,200.022 ,42.142 ,-7.346 ,2.437 ,1.766 ,1.457 ,-0.490 
Pd0.25Ir0.75_111,-1.914 ,1835.852 ,879.162 ,-3.401 ,-0.234 ,3.331 ,1.186 ,132.701 ,64.119 ,-3.675 ,1.755 ,3.650 ,1.208 ,201.941 ,43.100 ,-7.117 ,-3.476 ,1.841 ,1.011 ,-0.472 
Ir0.8Au0.2_111,-1.914 ,1749.613 ,987.724 ,-3.812 ,-0.150 ,3.371 ,1.300 ,134.829 ,53.146 ,-3.701 ,1.608 ,3.930 ,1.048 ,217.806 ,54.295 ,-7.362 ,-3.083 ,1.808 ,1.887 ,-0.387 
Ir0.75Au0.25_111,-1.913 ,1668.598 ,953.678 ,-4.030 ,-0.384 ,3.210 ,1.460 ,119.920 ,80.278 ,-3.723 ,2.194 ,3.961 ,1.386 ,196.469 ,49.266 ,-7.407 ,-2.916 ,1.768 ,2.667 ,-0.515 
Ir0.65Ag0.35_111,-1.913 ,2045.556 ,1290.970 ,-4.961 ,-1.176 ,2.220 ,1.990 ,108.877 ,81.828 ,-3.631 ,1.890 ,4.002 ,1.402 ,160.619 ,49.701 ,-7.257 ,-2.839 ,1.447 ,6.261 ,-0.774 
Pd0.3Ir0.7_111,-1.894 ,1928.611 ,880.987 ,-3.464 ,-0.409 ,3.252 ,1.149 ,130.577 ,67.083 ,-3.757 ,1.615 ,3.546 ,1.220 ,200.942 ,42.970 ,-7.084 ,-3.524 ,1.821 ,0.951 ,-0.591 
Ir0.75Ag0.25_111,-1.873 ,1828.686 ,1253.774 ,-4.582 ,-0.757 ,2.506 ,1.900 ,116.766 ,86.116 ,-3.544 ,2.211 ,3.908 ,1.417 ,166.524 ,47.133 ,-7.166 ,-2.729 ,1.502 ,6.554 ,-0.583 
Ir0.45Au0.55_111,-1.871 ,1834.565 ,983.238 ,-4.810 ,-1.307 ,2.500 ,1.868 ,93.194 ,93.234 ,-4.218 ,2.336 ,3.690 ,2.353 ,178.641 ,59.446 ,-7.511 ,1.816 ,1.636 ,2.454 ,-0.917 
Rh0.4Ag0.6_111,-1.866 ,2893.421 ,1542.216 ,-5.448 ,-2.066 ,1.718 ,1.489 ,62.433 ,102.279 ,-2.556 ,2.155 ,3.343 ,2.027 ,111.473 ,55.844 ,-6.758 ,-2.219 ,1.096 ,5.420 ,-1.431 
Ir0.4Pt0.6_111,-1.866 ,1715.076 ,854.843 ,-3.623 ,-0.675 ,3.397 ,1.032 ,114.520 ,83.237 ,-4.025 ,2.040 ,3.566 ,1.486 ,198.250 ,43.794 ,-7.363 ,2.210 ,1.747 ,1.392 ,-0.638 
Pd0.45Ir0.55_111,-1.861 ,1970.434 ,729.119 ,-3.428 ,-0.818 ,3.158 ,0.984 ,111.572 ,93.650 ,-3.826 ,2.138 ,3.360 ,1.637 ,173.005 ,36.456 ,-6.932 ,-3.587 ,1.810 ,0.894 ,-0.823 
Ir0.7Pt0.3_111,-1.849 ,1689.977 ,1020.192 ,-3.601 ,-0.139 ,3.409 ,1.232 ,135.267 ,58.669 ,-3.770 ,1.775 ,3.775 ,1.110 ,219.348 ,45.868 ,-7.318 ,-3.626 ,1.787 ,0.973 ,-0.348 
Pd0.4Ir0.6_111,-1.848 ,1873.236 ,667.351 ,-3.334 ,-0.632 ,3.278 ,0.997 ,113.138 ,89.782 ,-3.779 ,2.277 ,3.502 ,1.633 ,169.397 ,36.330 ,-7.030 ,-3.547 ,1.891 ,0.946 ,-0.702 
Ir0.45Pt0.55_111,-1.848 ,1679.706 ,827.872 ,-3.577 ,-0.561 ,3.447 ,1.055 ,116.215 ,83.307 ,-3.974 ,2.146 ,3.618 ,1.483 ,198.421 ,43.274 ,-7.357 ,2.291 ,1.756 ,1.422 ,-0.575 
Pd0.15Ir0.85_111,-1.840 ,1740.046 ,932.272 ,-3.410 ,-0.025 ,3.401 ,1.265 ,139.096 ,62.921 ,-3.596 ,1.955 ,3.742 ,1.142 ,215.417 ,44.713 ,-7.136 ,-3.467 ,1.800 ,1.000 ,-0.345 
Ir0.8Pt0.2_111,-1.828 ,1647.405 ,995.514 ,-3.517 ,0.021 ,3.465 ,1.258 ,138.760 ,58.833 ,-3.680 ,1.932 ,3.818 ,1.099 ,220.228 ,46.096 ,-7.281 ,-3.540 ,1.800 ,0.989 ,-0.267 
Rh0.8Ir0.2_111,-1.828 ,2140.781 ,1318.703 ,-3.330 ,-0.490 ,2.971 ,1.052 ,129.700 ,33.706 ,-3.468 ,0.916 ,3.168 ,1.027 ,190.112 ,48.560 ,-6.276 ,-2.990 ,1.665 ,1.028 ,-0.647 
Rh0.25Pd0.75_111,-1.823 ,2512.623 ,1314.977 ,-3.802 ,-1.703 ,2.442 ,0.899 ,83.651 ,87.515 ,-3.723 ,1.519 ,2.200 ,1.976 ,167.716 ,38.081 ,-6.142 ,-0.435 ,1.222 ,2.828 ,-1.438 
Ir0.9Cu0.1_111,-1.816 ,1780.800 ,643.622 ,-3.049 ,0.167 ,3.564 ,1.102 ,143.770 ,59.526 ,-3.531 ,1.970 ,3.854 ,1.091 ,214.641 ,44.984 ,-7.184 ,-3.427 ,1.890 ,0.971 ,-0.294 
Ir0.85Ag0.15_111,-1.812 ,1801.991 ,1107.998 ,-3.837 ,-0.068 ,3.073 ,1.462 ,136.918 ,56.459 ,-3.494 ,1.841 ,3.883 ,1.080 ,214.029 ,52.544 ,-7.149 ,-2.918 ,1.794 ,1.862 ,-0.345 
Ir0.3Cu0.7_111,-1.806 ,1541.829 ,1829.812 ,-3.716 ,-3.698 ,2.821 ,1.136 ,96.957 ,102.376 ,-4.495 ,1.579 ,3.073 ,2.640 ,133.713 ,48.507 ,-7.131 ,4.408 ,2.294 ,0.890 ,-1.383 
Rh0.35Ag0.65_111,-1.803 ,3013.646 ,1571.038 ,-5.465 ,-2.086 ,1.673 ,1.440 ,61.701 ,103.184 ,-2.587 ,2.077 ,3.280 ,2.028 ,124.364 ,59.329 ,-6.847 ,-4.145 ,1.082 ,2.316 ,-1.444 
Rh0.3Cu0.7_111,-1.798 ,3249.204 ,241.109 ,-3.804 ,-2.160 ,1.788 ,4.513 ,92.485 ,109.614 ,-4.532 ,1.618 ,2.538 ,2.919 ,135.128 ,43.475 ,-6.596 ,4.391 ,1.976 ,0.882 ,-1.608 
Ir0.35Pt0.65_111,-1.788 ,1731.524 ,871.030 ,-3.645 ,-0.729 ,3.369 ,1.019 ,113.368 ,83.271 ,-4.045 ,1.991 ,3.541 ,1.478 ,197.989 ,44.425 ,-7.362 ,2.156 ,1.739 ,1.386 ,-0.667 
Rh0.4Ir0.6_111,-1.786 ,1850.658 ,1145.518 ,-3.348 ,-0.125 ,3.248 ,1.135 ,23.267 ,136.057 ,-6.102 ,-3.185 ,0.965 ,3.636 ,205.962 ,48.029 ,-6.859 ,-3.154 ,1.821 ,1.088 ,-0.391 
Pd0.1Ir0.9_111,-1.781 ,1706.891 ,932.719 ,-3.392 ,0.056 ,3.450 ,1.233 ,140.204 ,62.117 ,-3.594 ,2.010 ,3.791 ,1.130 ,215.264 ,45.731 ,-7.176 ,-3.444 ,1.819 ,0.998 ,-0.296 
Ir0.9Ag0.1_111,-1.774 ,1685.355 ,1060.712 ,-3.774 ,0.000 ,3.286 ,1.435 ,138.412 ,58.593 ,-3.544 ,1.928 ,3.908 ,1.070 ,218.576 ,51.941 ,-7.211 ,-3.176 ,1.768 ,1.581 ,-0.301 
Rh0.6Ag0.4_111,-1.773 ,2256.648 ,2051.731 ,-5.337 ,-2.010 ,1.679 ,1.798 ,82.986 ,109.871 ,-3.414 ,2.274 ,3.481 ,1.852 ,118.338 ,63.314 ,-6.524 ,-4.232 ,1.148 ,2.804 ,-1.213 
Rh0.9Au0.1_111,-1.771 ,2249.363 ,1269.688 ,-3.392 ,-0.835 ,3.033 ,0.958 ,117.753 ,80.322 ,-3.480 ,1.572 ,3.109 ,1.249 ,181.250 ,51.849 ,-6.211 ,-2.769 ,1.577 ,1.715 ,-0.862 
Rh0.4Pd0.6_111,-1.770 ,2248.487 ,1131.566 ,-3.686 ,-1.470 ,2.566 ,0.896 ,80.694 ,89.626 ,-3.593 ,1.747 ,2.519 ,1.720 ,179.728 ,36.029 ,-5.721 ,-3.554 ,1.435 ,3.527 ,-1.297 
Rh0.75Ag0.25_111,-1.770 ,1018.727 ,1890.523 ,-5.939 ,-3.186 ,1.038 ,2.698 ,87.223 ,91.535 ,-3.478 ,1.916 ,3.214 ,1.585 ,119.427 ,56.593 ,-6.382 ,-4.187 ,1.183 ,2.852 ,-1.110 
Pd0.35Ir0.65_111,-1.764 ,2005.371 ,872.266 ,-3.473 ,-0.573 ,3.177 ,1.102 ,126.555 ,67.578 ,-3.794 ,1.493 ,3.457 ,1.257 ,192.155 ,40.718 ,-7.018 ,-3.503 ,1.856 ,0.919 ,-0.685 
Ir0.75Pt0.25_111,-1.759 ,1690.046 ,991.553 ,-3.546 ,-0.088 ,3.437 ,1.237 ,137.213 ,58.514 ,-3.734 ,1.822 ,3.782 ,1.106 ,220.187 ,46.075 ,-7.298 ,-3.579 ,1.797 ,0.983 ,-0.329 
Rh0.85Au0.15_111,-1.759 ,2256.564 ,1243.817 ,-3.448 ,-0.899 ,3.034 ,0.964 ,116.128 ,79.298 ,-3.522 ,1.467 ,3.115 ,1.229 ,152.787 ,47.697 ,-6.312 ,-2.159 ,1.554 ,4.851 ,-0.894 
